Campaign,Ad Group,Keyword,Criterion Type
SEM_Instructors,Bryan Van de Ven,bryan van de ven course,Phrase
SEM_Instructors,Bryan Van de Ven,+bryan +van +de +ven +course,Broad
SEM_Instructors,Bryan Van de Ven,bryan van de ven courses,Exact
SEM_Instructors,Bryan Van de Ven,bryan van de ven courses,Phrase
SEM_Instructors,Bryan Van de Ven,+bryan +van +de +ven +courses,Broad
SEM_Instructors,Bryan Van de Ven,bryan van de ven learn,Exact
SEM_Instructors,Bryan Van de Ven,bryan van de ven learn,Phrase
SEM_Instructors,Bryan Van de Ven,+bryan +van +de +ven +learn,Broad
SEM_Instructors,Bryan Van de Ven,bryan van de ven data science,Exact
SEM_Instructors,Bryan Van de Ven,bryan van de ven data science,Phrase
SEM_Instructors,Bryan Van de Ven,+bryan +van +de +ven +data science,Broad
SEM_Instructors,Bryan Van de Ven,bryan van de ven data camp,Exact
SEM_Instructors,Bryan Van de Ven,bryan van de ven data camp,Phrase
SEM_Instructors,Bryan Van de Ven,+bryan +van +de +ven +data camp,Broad
SEM_Instructors,Bryan Van de Ven,bryan van de ven datacamp,Exact
SEM_Instructors,Bryan Van de Ven,bryan van de ven datacamp,Phrase
SEM_Instructors,Bryan Van de Ven,+bryan +van +de +ven +datacamp,Broad
SEM_Instructors,Ben Baumer,ben baumer course,Exact
SEM_Instructors,Ben Baumer,ben baumer course,Phrase
SEM_Instructors,Ben Baumer,+ben +baumer +course,Broad
SEM_Instructors,Ben Baumer,ben baumer courses,Exact
SEM_Instructors,Ben Baumer,ben baumer courses,Phrase
SEM_Instructors,Ben Baumer,+ben +baumer +courses,Broad
SEM_Instructors,Ben Baumer,ben baumer learn,Exact
SEM_Instructors,Ben Baumer,ben baumer learn,Phrase
SEM_Instructors,Ben Baumer,+ben +baumer +learn,Broad
SEM_Instructors,Ben Baumer,ben baumer data science,Exact
SEM_Instructors,Ben Baumer,ben baumer data science,Phrase
SEM_Instructors,Ben Baumer,+ben +baumer +data science,Broad
SEM_Instructors,Ben Baumer,ben baumer data camp,Exact
SEM_Instructors,Ben Baumer,ben baumer data camp,Phrase
SEM_Instructors,Ben Baumer,+ben +baumer +data camp,Broad
SEM_Instructors,Ben Baumer,ben baumer datacamp,Exact
SEM_Instructors,Ben Baumer,ben baumer datacamp,Phrase
SEM_Instructors,Ben Baumer,+ben +baumer +datacamp,Broad
SEM_Instructors,Eric Ma,eric ma course,Exact
SEM_Instructors,Eric Ma,eric ma course,Phrase
SEM_Instructors,Eric Ma,+eric +ma +course,Broad
SEM_Instructors,Eric Ma,eric ma courses,Exact
SEM_Instructors,Eric Ma,eric ma courses,Phrase
SEM_Instructors,Eric Ma,+eric +ma +courses,Broad
SEM_Instructors,Eric Ma,eric ma learn,Exact
SEM_Instructors,Eric Ma,eric ma learn,Phrase
SEM_Instructors,Eric Ma,+eric +ma +learn,Broad
SEM_Instructors,Eric Ma,eric ma data science,Exact
SEM_Instructors,Eric Ma,eric ma data science,Phrase
SEM_Instructors,Eric Ma,+eric +ma +data science,Broad
SEM_Instructors,Eric Ma,eric ma data camp,Exact
SEM_Instructors,Eric Ma,eric ma data camp,Phrase
SEM_Instructors,Eric Ma,+eric +ma +data camp,Broad
SEM_Instructors,Eric Ma,eric ma datacamp,Exact
SEM_Instructors,Eric Ma,eric ma datacamp,Phrase
SEM_Instructors,Eric Ma,+eric +ma +datacamp,Broad
SEM_Instructors,Daniel Chen,daniel chen course,Exact
SEM_Instructors,Daniel Chen,daniel chen course,Phrase
SEM_Instructors,Daniel Chen,+daniel +chen +course,Broad
SEM_Instructors,Daniel Chen,daniel chen courses,Exact
SEM_Instructors,Daniel Chen,daniel chen courses,Phrase
SEM_Instructors,Daniel Chen,+daniel +chen +courses,Broad
SEM_Instructors,Daniel Chen,daniel chen learn,Exact
SEM_Instructors,Daniel Chen,daniel chen learn,Phrase
SEM_Instructors,Daniel Chen,+daniel +chen +learn,Broad
SEM_Instructors,Daniel Chen,daniel chen data science,Exact
SEM_Instructors,Daniel Chen,daniel chen data science,Phrase
SEM_Instructors,Daniel Chen,+daniel +chen +data science,Broad
SEM_Instructors,Daniel Chen,daniel chen data camp,Exact
SEM_Instructors,Daniel Chen,daniel chen data camp,Phrase
SEM_Instructors,Daniel Chen,+daniel +chen +data camp,Broad
SEM_Instructors,Daniel Chen,daniel chen datacamp,Exact
SEM_Instructors,Daniel Chen,daniel chen datacamp,Phrase
SEM_Instructors,Daniel Chen,+daniel +chen +datacamp,Broad
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel course,Exact
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel course,Phrase
SEM_Instructors,Mine Cetinkaya-Rundel,+mine +cetinkaya-rundel +course,Broad
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel courses,Exact
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel courses,Phrase
SEM_Instructors,Mine Cetinkaya-Rundel,+mine +cetinkaya-rundel +courses,Broad
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel learn,Exact
SEM_Instructors,Mine Cetinkaya-Rundel,mine cetinkaya-rundel learn,Phrase
SEM_Instructors,Mine Cetinkaya-Rundel,+mine +cetinkaya-rundel +learn,Broad
